therapist name,qualification,location,availability,experience,average fees
Dr. Pooja Verma,"PhD in Clinical Psychology, Specialization in Cognitive Behavioral Therapy","Leh, Ladakh, India",Monday-Saturday 10am-4pm,11,9000
Dr. Smita Patel,"MD in Clinical Psychology, Specialization in Couples Therapy",Bangalore,Tuesday-Thursday 2pm-7pm,10,9000
Dr. Ravi Kumar,"PhD in Counseling Psychology, Specialization in Grief Counseling",Mumbai,Monday-Friday 10am-3pm,15,7000
Dr. Priya Gupta,"MD in Psychiatry, Specialization in Addiction Medicine",Delhi,Wednesday-Friday 4pm-9pm,12,9500
Dr. Nandini Singh,"PhD in Clinical Psychology, Specialization in Eating Disorders",Chennai,Monday-Thursday 11am-4pm,8,8000
Dr. Aarav Patel,"MD in Psychiatry, Specialization in Geriatric Psychiatry",Kolkata,Friday-Saturday 10am-3pm,11,7500
Dr. Tanmay Jain,"MD in Psychiatry, Specialization in Child Psychiatry",Hyderabad,Monday-Wednesday 11am-4pm,13,8500
Dr. Sneha Reddy,"PhD in Counseling Psychology, Specialization in Trauma Therapy",Pune,Tuesday-Thursday 2pm-7pm,9,6500
Dr. Rohit Singh,"MD in Clinical Psychology, Specialization in Neuropsychology",Ahmedabad,Monday-Friday 10am-3pm,14,8000
Dr. Ananya Gupta,"PhD in Clinical Psychology, Specialization in Cognitive Behavioral Therapy",Bangalore,Wednesday-Friday 4pm-9pm,10,9000
Dr. Siddharth Patel,"MD in Psychiatry, Specialization in Forensic Psychiatry",Delhi,Monday-Thursday 11am-4pm,12,9500
Dr. Ria Singh,"PhD in Counseling Psychology, Specialization in Art Therapy",Chennai,Friday-Saturday 10am-3pm,8,7000
Dr. Aarav Gupta,"MD in Psychiatry, Specialization in Psychosomatic Medicine",Kolkata,Tuesday-Thursday 2pm-7pm,11,7500
Dr. Sneha Jain,"PhD in Clinical Psychology, Specialization in Positive Psychology",Hyderabad,Monday-Wednesday 11am-4pm,13,8500
Dr. Rohit Reddy,"MD in Psychiatry, Specialization in Geriatric Psychiatry",Pune,Tuesday-Thursday 2pm-7pm,9,6500
Dr. Ananya Patel,"PhD in Counseling Psychology, Specialization in Mindfulness-Based Stress Reduction",Ahmedabad,Monday-Friday 10am-3pm,14,8000
Dr. Siddharth Singh,"MD in Clinical Psychology, Specialization in Neuropsychology",Bangalore,Wednesday-Friday 4pm-9pm,10,9000
Dr. Ria Gupta,"PhD in Counseling Psychology, Specialization in Cognitive Behavioral Therapy",Delhi,Monday-Thursday 11am-4pm,12,9500
Dr. Aarav Jain,"MD in Psychiatry, Specialization in Forensic Psychiatry",Chennai,Friday-Saturday 10am-3pm,8,7000
Dr. Sneha Patel,"PhD in Clinical Psychology, Specialization in Art Therapy",Kolkata,Tuesday-Thursday 2pm-7pm,11,7500
Dr. Rohit Singh,"MD in Psychiatry, Specialization in Psychosomatic Medicine",Hyderabad,Monday-Wednesday 11am-4pm,13,8500
Dr. Ananya Reddy,"PhD in Counseling Psychology, Specialization in Positive Psychology",Pune,Tuesday-Thursday 2pm-7pm,9,6500
Dr. Siddharth Gupta,"MD in Clinical Psychology, Specialization in Mindfulness-Based Stress Reduction",Ahmedabad,Monday-Friday 10am-3pm,14,8000
Dr. Ria Singh,"PhD in Counseling Psychology, Specialization in Cognitive Behavioral Therapy",Delhi,Wednesday-Friday 4pm-9pm,10,9000
Dr. Aarav Patel,"MD in Psychiatry, Specialization in Forensic Psychiatry",Chennai,Monday-Thursday 11am-4pm,12,9500
Dr. Sneha Jain,"PhD in Clinical Psychology, Specialization in Art Therapy",Kolkata,Friday-Saturday 10am-3pm,8,7000
Dr. Rohit Reddy,"MD in Psychiatry, Specialization in Geriatric Psychiatry",Pune,Monday-Wednesday 11am-4pm,13,8500
Dr. Ananya Gupta,"PhD in Counseling Psychology, Specialization in Positive Psychology",Ahmedabad,Tuesday-Thursday 2pm-7pm,9,6500
Dr. Nidhi Gupta,"PhD in Clinical Psychology, Specialization in Neuropsychology",Mumbai,Tuesday-Thursday 10am-6pm,15,9000
Dr. Ravi Kumar,"MD in Psychiatry, Specialization in Addiction Medicine",Bangalore,Monday-Friday 9am-5pm,10,7500
Dr. Sangeeta Singh,"PhD in Counseling Psychology, Specialization in Couples Therapy",Delhi,Wednesday-Friday 2pm-8pm,12,8000
Dr. Priya Patel,"MD in Psychiatry, Specialization in Geriatric Psychiatry",Ahmedabad,Monday-Thursday 11am-7pm,14,9500
Dr. Aarav Sharma,"PhD in Clinical Psychology, Specialization in Child Psychology",Kolkata,Tuesday-Friday 10am-6pm,8,7000
Dr. Ananya Verma,"MD in Psychiatry, Specialization in Forensic Psychiatry",Chennai,Monday-Wednesday 9am-5pm,11,8500
Dr. Mohan Kapoor,"PhD in Counseling Psychology, Specialization in Eating Disorders",Pune,Thursday-Saturday 2pm-8pm,13,9000
Dr. Rohit Singh,"MD in Psychiatry, Specialization in Psychopharmacology",Jaipur,Monday-Friday 11am-7pm,16,10000
Dr. Sneha Reddy,"PhD in Clinical Psychology, Specialization in Trauma Therapy",Hyderabad,Tuesday-Thursday 10am-6pm,14,9500
Dr. Arjun Patel,"MD in Psychiatry, Specialization in Geriatric Psychiatry",Ahmedabad,Monday-Thursday 11am-7pm,15,9500
Dr. Shweta Gupta,"PhD in Clinical Psychology, Specialization in Neuropsychology",Mumbai,Tuesday-Thursday 10am-6pm,10,8000
Dr. Aryan Singh,"MD in Psychiatry, Specialization in Addiction Medicine",Bangalore,Monday-Friday 9am-5pm,8,7500
Dr. Ridhima Verma,"PhD in Counseling Psychology, Specialization in Couples Therapy",Delhi,Wednesday-Friday 2pm-8pm,12,8000
Dr. Siddhartha Patel,"MD in Psychiatry, Specialization in Geriatric Psychiatry",Ahmedabad,Monday-Thursday 11am-7pm,14,9500
Dr. Ananya Singh,"PhD in Clinical Psychology, Specialization in Child Psychology",Kolkata,Tuesday-Friday 10am-6pm,8,7000
Dr. Rohini Verma,"MD in Psychiatry, Specialization in Forensic Psychiatry",Chennai,Monday-Wednesday 9am-5pm,11,8500
Dr. Smith Kapoor,"PhD in Counseling Psychology, Specialization in Eating Disorders",Pune,Thursday-Saturday 2pm-8pm,13,9000
Dr. Raj Singh,"MD in Psychiatry, Specialization in Psychopharmacology",Jaipur,Monday-Friday 11am-7pm,16,10000
Dr. Sneha Reddy,"PhD in Clinical Psychology, Specialization in Trauma Therapy",Hyderabad,Tuesday-Thursday 10am-6pm,14,9500
Dr. Arjun Patel,"MD in Psychiatry, Specialization in Geriatric Psychiatry",Ahmedabad,Monday-Thursday 11am-7pm,15,9500
Dr. Shweta Gupta,"PhD in Clinical Psychology, Specialization in Neuropsychology",Mumbai,Tuesday-Thursday 10am-6pm,10,8000
Dr. Aryan Singh,"MD in Psychiatry, Specialization in Addiction Medicine",Bangalore,Monday-Friday 9am-5pm,8,7500
Dr. Ridhima Verma,"PhD in Counseling Psychology, Specialization in Couples Therapy",Delhi,Wednesday-Friday 2pm-8pm,12,8000
Dr. Siddhartha Patel,"MD in Psychiatry, Specialization in Geriatric Psychiatry",Ahmedabad,Monday-Thursday 11am-7pm,14,9500
Dr. Ananya Singh,"PhD in Clinical Psychology, Specialization in Child Psychology",Kolkata,Tuesday-Friday 10am-6pm,8,7000
Dr. Rohini Verma,"MD in Psychiatry, Specialization in Forensic Psychiatry",Chennai,Monday-Wednesday 9am-5pm,11,8500
Dr. Meera Kapoor,"PhD in Counseling Psychology, Specialization in Eating Disorders",Pune,Thursday-Saturday 2pm-8pm,13,9000
Dr. Shyam Singh,"MD in Psychiatry, Specialization in Psychopharmacology",Jaipur,Monday-Friday 11am-7pm,16,10000
Dr. Priya Patel,"MD in Clinical Psychology, Specialization in Cognitive Behavioral Therapy",Bangalore,Tuesday-Thursday 2pm-7pm,10,9000
Dr. Ravi Gupta,"MD in Psychiatry, Specialization in Addiction Medicine",Delhi,"Monday-Friday 9am-1pm, 3pm-6pm",15,12000
Dr. Sangeeta Singh,"PhD in Counseling Psychology, Specialization in Marriage and Family Therapy",Mumbai,Saturday 10am-3pm,8,7500
Dr. Aarav Patel,"MD in Psychiatry, Specialization in Geriatric Psychiatry",Chennai,Monday-Wednesday 11am-4pm,12,9500
Dr. Nidhi Kumar,"MD in Clinical Psychology, Specialization in Neuropsychology",Kolkata,Friday 2pm-7pm,11,8000
Dr. Tanmay Jain,"MD in Psychiatry, Specialization in Child Psychiatry",Hyderabad,Monday-Wednesday 11am-4pm,13,8500
Dr. Ananya Singh,"PhD in Counseling Psychology, Specialization in Group Therapy",Pune,Sunday 10am-3pm,9,7000
Dr. Rohit Gupta,"MD in Psychiatry, Specialization in Forensic Psychiatry",Ahmedabad,"Monday-Friday 9am-1pm, 3pm-6pm",14,11000
Dr. Pooja Patel,"MD in Clinical Psychology, Specialization in Health Psychology",Jaipur,Saturday 10am-3pm,7,6500
Dr. Siddhartha Singh,"PhD in Counseling Psychology, Specialization in Art Therapy",Lucknow,Monday-Wednesday 11am-4pm,10,8000
Dr. Ria Gupta,"MD in Psychiatry, Specialization in Psychosomatic Medicine",Kochi,Tuesday-Thursday 2pm-7pm,11,9000
Dr. Aarav Patel,"MD in Psychiatry, Specialization in Geriatric Psychiatry",Chennai,Monday-Wednesday 11am-4pm,12,9500
Dr. Nidhi Kumar,"MD in Clinical Psychology, Specialization in Neuropsychology",Kolkata,Friday 2pm-7pm,11,8000
Dr. Tanmay Jain,"MD in Psychiatry, Specialization in Child Psychiatry",Hyderabad,Monday-Wednesday 11am-4pm,13,8500
Dr. Ananya Singh,"PhD in Counseling Psychology, Specialization in Group Therapy",Pune,Sunday 10am-3pm,9,7000
Dr. Anubhav Gupta,"MD in Psychiatry, Specialization in Forensic Psychiatry",Ahmedabad,"Monday-Friday 9am-1pm, 3pm-6pm",14,11000
Dr. Pooja Patel,"MD in Clinical Psychology, Specialization in Health Psychology",Jaipur,Saturday 10am-3pm,7,6500
Dr. Siddhartha Singh,"PhD in Counseling Psychology, Specialization in Art Therapy",Lucknow,Monday-Wednesday 11am-4pm,10,8000
Dr. Ria Gupta,"MD in Psychiatry, Specialization in Psychosomatic Medicine",Kochi,Tuesday-Thursday 2pm-7pm,11,9000
Dr. Ananya Gupta,"MD in Clinical Psychology, Specialization in Health Psychology",Bangalore,"Monday-Friday 10am-3pm, 5pm-8pm",8,7500
Dr. Tanmay Singh,"PhD in Counseling Psychology, Specialization in Cognitive Behavioral Therapy",Delhi,Saturday 11am-4pm,12,9000
Dr. Nidhi Patel,"MD in Psychiatry, Specialization in Geriatric Psychiatry",Mumbai,Tuesday-Thursday 2pm-7pm,10,8500
Dr. Rohit Kumar,"PhD in Counseling Psychology, Specialization in Art Therapy",Chennai,Monday-Wednesday 11am-4pm,9,7000
Dr. Pooja Gupta,"MD in Clinical Psychology, Specialization in Neuropsychology",Kolkata,Friday 10am-3pm,7,6500
Dr. Siddhartha Patel,"MD in Psychiatry, Specialization in Child Psychiatry",Hyderabad,Monday-Wednesday 11am-4pm,13,8500
Dr. Ria Singh,"PhD in Counseling Psychology, Specialization in Group Therapy",Pune,Sunday 10am-3pm,9,7000
Dr. Sushant Gupta,"MD in Psychiatry, Specialization in Forensic Psychiatry",Ahmedabad,"Monday-Friday 9am-1pm, 3pm-6pm",14,11000
Dr. Pooja Patel,"MD in Clinical Psychology, Specialization in Health Psychology",Jaipur,Saturday 10am-3pm,7,6500
Dr. Smita Gupta,"MBBS, MD in Psychology, Specialization in Clinical Psychology",Mumbai,"Tuesday-Thursday 10am-5pm, Friday 3pm-8pm",10,9000
Dr. Ravi Kumar,"MBBS, MD in Psychiatry, Specialization in Adult Psychiatry",Delhi,Monday-Friday 9am-6pm,15,10000
Dr. Priya Patel,"MBBS, MD in Psychiatry, Specialization in Geriatric Psychiatry",Bangalore,Wednesday-Saturday 1pm-7pm,8,7500
Dr. Aarav Singh,"MBBS, MD in Psychology, Specialization in Forensic Psychology",Chennai,"Monday-Thursday 11am-6pm, Friday 4pm-9pm",6,6000
Dr. Nisha Verma,"MBBS, MD in Psychiatry, Specialization in Addiction Psychiatry",Kolkata,"Tuesday-Friday 10am-5pm, Saturday 12pm-5pm",12,8000
Dr. Tanmay Jain,"MD in Psychiatry, Specialization in Child Psychiatry",Hyderabad,Monday-Wednesday 11am-4pm,9,8500
Dr. Suresh Reddy,"MD in Psychiatry, Specialization in Geriatric Psychiatry",Hyderabad,Monday-Friday 10am-6pm,11,9000
Dr. Bhoomi Rao,"MD in Psychiatry, Specialization in Child Psychiatry",Hyderabad,"Tuesday-Thursday 11am-4pm, Saturday 10am-1pm",7,7000
Dr. Siddhartha Gupta,"MD in Psychiatry, Specialization in Adult Psychiatry",Hyderabad,"Monday-Wednesday 9am-5pm, Friday 3pm-8pm",14,11000
Dr. Anjali Patel,"MD in Psychiatry, Specialization in Geriatric Psychiatry",Ahmedabad,Monday-Friday 10am-6pm,13,9500
Dr. Ronit Singh,"MD in Psychiatry, Specialization in Addiction Psychiatry",Pune,"Tuesday-Thursday 11am-4pm, Saturday 12pm-5pm",8,7000
Dr. Nidhi Verma,"MD in Psychiatry, Specialization in Child Psychiatry",Jaipur,"Monday-Wednesday 11am-4pm, Friday 3pm-8pm",6,6500
Dr. Suresh Reddy,"MD in Psychiatry, Specialization in Geriatric Psychiatry",Hyderabad,Monday-Friday 10am-6pm,11,9000
Dr. Meera Rao,"MD in Psychiatry, Specialization in Child Psychiatry",Hyderabad,"Tuesday-Thursday 11am-4pm, Saturday 10am-1pm",7,7000
Dr. Siddhartha Gupta,"MD in Psychiatry, Specialization in Adult Psychiatry",Hyderabad,"Monday-Wednesday 9am-5pm, Friday 3pm-8pm",14,11000
Dr. Anjali Patel,"MD in Psychiatry, Specialization in Geriatric Psychiatry",Ahmedabad,Monday-Friday 10am-6pm,13,9500
Dr. R.P Singh,"MD in Psychiatry, Specialization in Addiction Psychiatry",Pune,"Tuesday-Thursday 11am-4pm, Saturday 12pm-5pm",8,7000
